"TIMESTAMP"	"L1_EC"	"L2_EC"	"L3_EC"	"L4_EC"	"L5_EC"	"L6_EC"
"2024-10-10 11:05:00"	480	0	717	1035	0	4
"2024-10-10 11:10:00"	482	0	717	1036	1	3
"2024-10-10 11:15:00"	482	0	715	1034	0	3
"2024-10-10 11:20:00"	482	0	713	1035	1	1
"2024-10-10 11:25:00"	484	0	713	1035	1	4
"2024-10-10 11:30:00"	484	0	712	1035	1	3
"2024-10-10 11:35:00"	485	0	714	1036	1	1
"2024-10-10 11:40:00"	485	0	713	1035	1	1
"2024-10-10 11:45:00"	486	0	714	1035	1	1
"2024-10-10 11:50:00"	485	0	715	1036	1	2
"2024-10-10 11:55:00"	486	0	714	1035	0	2
"2024-10-10 12:00:00"	485	0	715	1034	0	3
"2024-10-10 12:05:00"	485	0	716	1035	1	2
"2024-10-10 12:10:00"	486	0	716	1035	1	2
"2024-10-10 12:15:00"	486	0	716	1034	0	1
"2024-10-10 12:20:00"	486	0	716	1034	1	2
"2024-10-10 12:25:00"	486	0	717	1035	1	3
"2024-10-10 12:30:00"	486	0	716	1034	1	3
"2024-10-10 12:35:00"	485	0	717	1034	1	3
"2024-10-10 12:40:00"	486	0	717	1034	1	1
"2024-10-10 13:10:00"	486	0	719	1034	1	5
"2024-10-14 10:15:00"	469	468	720	1025	1	1
"2024-10-14 10:20:00"	468	469	723	1025	1	3
"2024-10-14 10:25:00"	468	468	727	1026	1	2
"2024-10-14 10:30:00"	467	469	731	1026	1	625
"2024-10-14 10:35:00"	468	468	733	1030	1	639
"2024-10-14 10:40:00"	467	469	734	1030	1	643
"2024-10-14 10:45:00"	467	468	734	1030	1	647
"2024-10-14 10:50:00"	467	468	735	1029	1	653
"2024-10-14 10:55:00"	467	468	738	1029	1	663
"2024-10-14 11:00:00"	467	469	740	1029	1	668
"2024-10-14 11:05:00"	467	469	739	1029	1	676
"2024-10-14 11:10:00"	468	469	738	1029	1	680
"2024-10-14 11:15:00"	467	469	738	1029	1	686
"2024-10-14 11:20:00"	467	469	739	1030	0	689
"2024-10-14 11:25:00"	467	469	740	1029	1	690
"2024-10-14 11:30:00"	468	469	740	1029	1	693
"2024-10-14 11:35:00"	467	468	741	1029	0	695
"2024-10-14 11:40:00"	467	470	743	1029	1	698
"2024-10-14 11:45:00"	468	469	742	1029	1	710
"2024-10-14 11:50:00"	467	469	741	1029	1	724
"2024-10-14 11:55:00"	468	470	740	1030	1	766
"2024-10-14 12:00:00"	468	467	737	1027	1	772
"2024-10-16 11:10:00"	462	459	681	1038	3	727
"2024-10-16 11:15:00"	462	460	681	1039	1	727
"2024-10-16 11:20:00"	462	460	684	1040	1	727
"2024-10-16 11:25:00"	461	460	687	1042	0	727
"2024-10-16 11:30:00"	462	459	688	1046	1	727
"2024-10-16 11:35:00"	461	460	691	1047	2	728
"2024-10-16 11:40:00"	461	459	691	1047	1	728
"2024-10-16 11:45:00"	461	460	690	1047	1	728
"2024-10-16 11:50:00"	461	460	690	1048	1	729
"2024-10-16 11:55:00"	460	460	691	1048	1	730
"2024-10-16 12:00:00"	462	459	692	1048	1	730
"2024-10-16 12:05:00"	462	459	694	1050	1	730
"2024-10-16 12:10:00"	461	459	695	1050	1	731
"2024-10-16 12:15:00"	461	459	693	1050	1	732
"2024-10-16 12:20:00"	461	459	692	1051	0	734
"2024-10-16 12:25:00"	462	459	693	1051	0	735
"2024-10-16 12:30:00"	462	458	693	1051	1	735
"2024-10-16 12:35:00"	462	459	695	1053	1	736
"2024-10-16 12:40:00"	462	458	695	1053	1	736
"2024-10-16 12:45:00"	462	460	695	1053	1	736
"2024-10-16 12:50:00"	462	459	693	1052	1	738
"2024-10-16 12:55:00"	462	458	692	1053	1	739
"2024-10-16 13:00:00"	462	459	694	1053	0	738
"2024-10-16 13:05:00"	463	458	695	1055	1	739
"2024-10-16 13:10:00"	462	458	697	1055	1	738
"2024-10-16 13:15:00"	462	458	696	1054	1	739
"2024-10-16 13:20:00"	462	458	695	1056	2	739
"2024-10-16 13:25:00"	462	457	694	1056	1	741
"2024-10-16 13:30:00"	462	456	693	1057	1	740
"2024-10-16 13:35:00"	461	457	694	1057	1	740
"2024-10-16 13:40:00"	462	458	697	1057	0	740
"2024-10-16 13:45:00"	461	457	696	1057	0	738
"2024-10-16 13:50:00"	462	457	696	1057	1	739
