"TIMESTAMP"	"BulkEC_5cm"	"BulkEC_10cm"	"BulkEC_20cm"	"BulkEC_30cm"	"BulkEC_40cm"	"BulkEC_50cm"	"BulkEC_60cm"	"BulkEC_75cm"	"BulkEC_100cm"
"2025-04-22 12:45:00"	0.0069569	0.0135115	0.0417208	0.0895138	0.1005647	0.1040958	0.1475741	0.2329643	0.3461765
"2025-04-22 13:00:00"	0.0074763	0.0133503	0.0384985	0.0869011	0.1000199	0.1070298	0.1451152	0.2334321	0.3551964
"2025-04-22 13:15:00"	0.0051333	0.011952	0.038479	0.0863972	0.1015695	0.1079888	0.1477069	0.2350736	0.3477821
"2025-04-22 13:30:00"	0.0067128	0.0115913	0.0392073	0.0859711	0.1040399	0.106027	0.1442652	0.2342627	0.3467084
"2025-04-22 13:45:00"	0.0078023	0.0120631	0.036026	0.0835944	0.1033678	0.106248	0.143903	0.2336542	0.3478875
"2025-04-22 14:00:00"	0.0086544	0.0120631	0.0372695	0.0852718	0.1028352	0.1053333	0.1427307	0.2333566	0.3551688
"2025-04-22 14:15:00"	0.0061248	0.0131624	0.0376398	0.0861888	0.1008185	0.1073501	0.1444774	0.2402231	0.3544736
"2025-04-22 14:30:00"	0.0074186	0.0106741	0.0356516	0.0840825	0.1029627	0.1083434	0.143636	0.2365367	0.3505034
"2025-04-22 14:45:00"	0.0062415	0.0121725	0.0333069	0.0837257	0.103645	0.1054571	0.1422934	0.2372735	0.3534355
"2025-04-22 15:00:00"	0.0073383	0.0108107	0.033809	0.0805915	0.1012862	0.1063999	0.140263	0.238425	0.3466825
"2025-04-22 15:15:00"	0.0079002	0.010365	0.0338461	0.0791358	0.0963828	0.1071475	0.1437618	0.2339405	0.3517201
"2025-04-22 15:30:00"	0.0067717	0.0106573	0.0331474	0.0770944	0.0956422	0.1068262	0.145922	0.2329836	0.350781
"2025-04-22 15:45:00"	0.0091598	0.0098222	0.0311407	0.075719	0.0962184	0.1057579	0.1411811	0.23624	0.3454128
"2025-04-22 16:00:00"	0.0075327	0.0092648	0.0341653	0.0736441	0.0953052	0.1061841	0.1413739	0.2328737	0.3542119
"2025-04-22 16:15:00"	0.0075326	0.0100889	0.0314056	0.0745091	0.0919836	0.1061042	0.1451237	0.2342699	0.3529291
"2025-04-22 16:30:00"	0.0067662	0.0106299	0.0320948	0.0748975	0.0955676	0.1068659	0.1453475	0.2329606	0.3553689
"2025-04-22 16:45:00"	0.0068038	0.009184	0.0329905	0.0735787	0.0951253	0.1064799	0.1462582	0.2333925	0.3563483
"2025-04-22 17:00:00"	0.0071764	0.0095462	0.0309326	0.0726637	0.0937693	0.1051496	0.1417774	0.2336747	0.3544349
"2025-04-22 17:15:00"	0.0072305	0.0085331	0.0309061	0.0711434	0.0940143	0.1034462	0.1458513	0.2336531	0.3469587
"2025-04-22 17:30:00"	0.007362	0.0115819	0.0304042	0.0736799	0.0936324	0.1061515	0.1423522	0.2374136	0.3500841
"2025-04-22 17:45:00"	0.0080449	0.0112773	0.0336504	0.0751487	0.0907708	0.1058337	0.1394964	0.2383488	0.3512437
