"TIMESTAMP"	"VWC_5cm"	"VWC_10cm"	"VWC_20cm"	"VWC_30cm"	"VWC_40cm"	"VWC_50cm"	"VWC_60cm"	"VWC_75cm"	"VWC_100cm"
"2025-04-22 12:45:00"	0	0.0538096	0.2387287	0.2997196	0.3043947	0.3353218	0.3566402	0.381092	0.3753178
"2025-04-22 13:00:00"	0.0351261	0.0574099	0.2304881	0.2913455	0.3038396	0.3334437	0.3572319	0.3817435	0.3746425
"2025-04-22 13:15:00"	0.0341016	0.0611799	0.2255748	0.2893903	0.3014025	0.3368057	0.3541305	0.3821379	0.3786173
"2025-04-22 13:30:00"	0.0350557	0.0584732	0.2224692	0.2865421	0.3013065	0.3346816	0.3554192	0.3832452	0.3762422
"2025-04-22 13:45:00"	0.0389033	0.0578122	0.2189041	0.2893051	0.3020851	0.3348378	0.3560728	0.380438	0.3763321
"2025-04-22 14:00:00"	0.036136	0.0585499	0.2151533	0.2865807	0.3016038	0.3346203	0.3549006	0.3813052	0.3756224
"2025-04-22 14:15:00"	0.0354667	0.0583849	0.2129793	0.285411	0.3017572	0.3351337	0.3559559	0.3835368	0.376177
"2025-04-22 14:30:00"	0.0359537	0.0576693	0.2135108	0.2833583	0.3036593	0.3325513	0.3551029	0.3815963	0.3750403
"2025-04-22 14:45:00"	0.0368096	0.057514	0.210055	0.2797537	0.3044417	0.3325224	0.3565311	0.3817876	0.3758012
"2025-04-22 15:00:00"	0.036613	0.0574691	0.2056443	0.274666	0.2966085	0.3321129	0.3545991	0.3798212	0.3774436
"2025-04-22 15:15:00"	0.0361902	0.0567629	0.2064289	0.2683384	0.2865887	0.3344973	0.3569665	0.3810841	0.3771115
"2025-04-22 15:30:00"	0.037796	0.057982	0.2044405	0.26534	0.2837365	0.3339819	0.356722	0.3828776	0.3749748
"2025-04-22 15:45:00"	0.0365623	0.0563276	0.1998676	0.258567	0.284455	0.3329398	0.3550976	0.3808247	0.3759306
"2025-04-22 16:00:00"	0.0358848	0.0582519	0.2006133	0.2574458	0.2818514	0.3323011	0.3553583	0.3811971	0.3758798
"2025-04-22 16:15:00"	0.0391885	0.0563978	0.198763	0.2562672	0.2767287	0.3313303	0.3554356	0.3838419	0.3768779
"2025-04-22 16:30:00"	0.038985	0.0561204	0.1992502	0.2541941	0.2739762	0.3346204	0.3570569	0.3804743	0.3772623
"2025-04-22 16:45:00"	0.0347814	0.0585404	0.1953459	0.2537333	0.2772273	0.3331746	0.3544085	0.3808828	0.3756159
"2025-04-22 17:00:00"	0.0379047	0.0543988	0.1944811	0.25224	0.2766718	0.3358113	0.3565149	0.3825205	0.3754236
"2025-04-22 17:15:00"	0.0371194	0.0567363	0.1957115	0.2518077	0.2739453	0.3316782	0.3531809	0.3809018	0.375436
"2025-04-22 17:30:00"	0.0354548	0.0560188	0.1933165	0.2527343	0.268703	0.3330836	0.3553995	0.3805464	0.3732939
"2025-04-22 17:45:00"	0.0369485	0.0564327	0.1928618	0.2521372	0.2656784	0.3328198	0.3548561	0.3804686	0.3746469
"2025-04-22 18:00:00"	0.0345253	0.0590587	0.1937566	0.2516224	0.2594079	0.333463	0.3554105	0.382246	0.3744346
"2025-04-22 18:15:00"	0.0349813	0.0589651	0.1941798	0.251509	0.2539944	0.3345844	0.3552262	0.3814749	0.3732668
"2025-04-22 18:30:00"	0.0349881	0.0553262	0.194239	0.2521676	0.2457734	0.334884	0.3555278	0.3802636	0.3753302
"2025-04-22 18:45:00"	0.037472	0.0577007	0.1947068	0.2491004	0.2410522	0.3300139	0.3556665	0.3806137	0.3754076
"2025-04-22 19:00:00"	0.0345637	0.0534617	0.1926658	0.2488277	0.2362166	0.3315672	0.3549796	0.3819366	0.3746121
"2025-04-22 19:15:00"	0.0366419	0.057387	0.1930005	0.2475173	0.2332007	0.3279419	0.3535897	0.3803234	0.3743722
"2025-04-22 19:30:00"	0.0342535	0.0551424	0.1923972	0.2492432	0.2300755	0.3300271	0.3556577	0.3819933	0.3729667
"2025-04-22 19:45:00"	0.0369125	0.0565325	0.1928002	0.2474882	0.2319836	0.3287734	0.3576398	0.3829108	0.3793386
"2025-04-22 20:00:00"	0.0359477	0.0574082	0.1931083	0.2437244	0.2297362	0.3299401	0.3542416	0.3810403	0.3754947
"2025-04-22 20:15:00"	0.0359873	0.0557861	0.1931539	0.2379234	0.2270934	0.3313331	0.3533713	0.3813825	0.3743216
"2025-04-22 20:30:00"	0.0346866	0.0569493	0.1913806	0.2361468	0.2259419	0.3294734	0.3565693	0.3804678	0.3739163
"2025-04-22 20:45:00"	0.0355106	0.0604171	0.1928457	0.2359217	0.2278414	0.3318609	0.3554344	0.379542	0.3747321
"2025-04-22 21:00:00"	0.0372649	0.0586144	0.1901404	0.2351665	0.2248387	0.3315372	0.3541099	0.3807627	0.3755696
