"TIMESTAMP"	"L1_mod_depth"	"L2_mod_depth"	"L3_mod_depth"	"L4_mod_depth"	"L5_mod_depth"	"L6_mod_depth"
"2024-10-10 11:30:00"	1552	774	1555	945	299	1304
"2024-10-10 11:35:00"	1552	806	1555	947	302	1306
"2024-10-10 11:40:00"	1553	800	1554	949	303	1309
"2024-10-10 11:45:00"	1553	787	1555	951	306	1309
"2024-10-10 11:50:00"	1554	789	1554	952	306	1310
"2024-10-10 11:55:00"	1553	789	1553	952	306	1310
"2024-10-10 12:00:00"	1554	797	1552	954	305	1312
"2024-10-10 12:05:00"	1553	794	1550	953	306	1312
"2024-10-10 12:10:00"	1555	796	1550	955	307	1312
"2024-10-10 12:15:00"	1554	818	1550	954	307	1313
"2024-10-10 12:20:00"	1554	804	1550	955	308	1315
"2024-10-10 12:25:00"	1552	803	1549	955	308	1315
"2024-10-10 12:30:00"	1555	802	1548	956	311	1315
"2024-10-10 12:35:00"	1553	803	1548	956	309	1315
"2024-10-10 12:40:00"	1553	807	1547	957	310	1315
"2024-10-10 12:45:00"	1552	806	1545	956	308	1315
"2024-10-10 12:50:00"	1553	806	1545	956	310	1315
"2024-10-10 12:55:00"	1553	832	1546	956	312	1316
"2024-10-14 10:20:00"	1465	1245	1424	903	227	1336
"2024-10-14 10:25:00"	1465	1264	1424	902	228	1336
"2024-10-14 10:30:00"	1464	1244	1424	902	228	1336
"2024-10-14 10:35:00"	1464	1245	1424	902	228	1338
"2024-10-14 10:40:00"	1465	1247	1425	902	228	1337
"2024-10-14 10:45:00"	1465	1246	1424	901	227	1335
"2024-10-14 10:50:00"	1464	1248	1424	902	228	1337
"2024-10-14 10:55:00"	1465	1249	1424	904	228	1336
"2024-10-16 12:05:00"	1421	1334	1361	869	183	1313
"2024-10-16 12:10:00"	1422	1353	1361	870	183	1313
"2024-10-16 12:15:00"	1421	1354	1361	870	182	1314
"2024-10-17 09:05:00"	1405	1317	1341	825	158	1299
"2024-10-17 09:10:00"	1406	1338	1344	827	157	1299
"2024-10-17 09:15:00"	1405	1317	1344	827	158	1297
"2024-10-17 09:20:00"	1405	1318	1343	826	157	1299
"2024-10-17 09:25:00"	1405	1318	1343	826	157	1299
"2024-10-17 09:30:00"	1405	1318	1342	827	156	1299
"2024-10-17 09:35:00"	1406	1317	1342	828	156	1299
"2024-10-17 09:40:00"	1405	1316	1341	828	156	1299
"2024-10-17 09:45:00"	1404	1318	1342	827	157	1299
"2024-10-17 09:50:00"	1406	1341	1342	825	157	1300
"2024-10-17 09:55:00"	1405	1318	1341	827	157	1299
"2024-10-17 10:00:00"	1405	1317	1341	827	159	1298
"2024-10-17 10:05:00"	1405	1318	1341	828	158	1299
"2024-10-17 10:10:00"	1404	1318	1343	828	158	1297
"2024-10-17 10:15:00"	1406	1317	1342	829	157	1298
"2024-10-17 10:20:00"	1405	1319	1340	829	157	1298
"2024-10-17 10:25:00"	1404	1339	1341	828	158	1297
"2024-10-17 10:30:00"	1405	1339	1342	829	158	1298
"2024-10-17 10:35:00"	1404	1319	1342	829	158	1298
"2024-10-17 10:40:00"	1404	1319	1341	829	156	1296
"2024-10-17 10:45:00"	1404	1318	1340	829	157	1298
"2024-10-17 10:50:00"	1405	1317	1342	829	159	1297
"2024-10-17 10:55:00"	1404	1318	1343	829	158	1297
"2024-10-17 11:00:00"	1404	1319	1343	829	160	1298
"2024-10-17 11:05:00"	1404	1338	1341	829	159	1298
"2024-10-17 11:10:00"	1404	1339	1342	829	159	1298
"2024-10-17 11:15:00"	1404	1319	1342	828	160	1298
"2024-10-17 11:20:00"	1403	1318	1342	827	158	1297
"2024-10-17 11:25:00"	1405	1317	1341	828	158	1297
"2024-10-17 11:30:00"	1405	1318	1341	828	158	1299
"2024-10-17 11:35:00"	1405	1318	1341	829	160	1298
"2024-10-17 11:40:00"	1404	1317	1343	829	161	1299
"2024-10-17 11:45:00"	1405	1338	1342	829	161	1299
"2024-10-17 11:50:00"	1405	1320	1343	829	160	1299
"2024-10-17 11:55:00"	1405	1319	1343	830	160	1300
"2024-10-17 12:00:00"	1406	1319	1343	829	161	1298
"2024-10-22 10:50:00"	1366	1270	1301	854	121	1263
"2024-10-22 10:55:00"	1367	1269	1303	856	122	1263
"2024-10-22 11:00:00"	1368	1293	1301	854	122	1262
"2024-10-22 11:05:00"	1368	1270	1303	855	123	1263
"2024-10-22 11:10:00"	1369	1270	1302	854	122	1263
"2024-10-22 11:15:00"	1368	1269	1303	855	123	1262
"2024-10-22 11:20:00"	1368	1270	1304	855	122	1263
"2024-10-22 11:25:00"	1367	1269	1303	854	122	1261
"2024-10-22 11:30:00"	1368	1271	1303	854	123	1262
"2024-10-22 11:35:00"	1367	1293	1303	855	124	1262
"2024-10-22 11:40:00"	1368	1293	1304	855	124	1264
"2024-10-22 11:45:00"	1368	1270	1304	854	124	1263
"2024-10-22 11:50:00"	1369	1269	1303	855	123	1263
"2024-10-22 11:55:00"	1368	1269	1303	855	124	1262
"2024-10-22 12:00:00"	1369	1270	1305	856	124	1263
"2024-10-22 12:05:00"	1371	1271	1304	856	125	1265
"2024-10-22 12:10:00"	1369	1270	1303	855	125	1265
"2024-10-22 12:15:00"	1370	1294	1305	853	127	1263
"2024-10-22 12:20:00"	1369	1294	1305	856	127	1265
"2024-10-22 12:25:00"	1370	1270	1304	854	126	1264
"2024-10-22 12:30:00"	1369	1269	1303	855	127	1264
"2024-10-23 09:15:00"	1361	1258	1292	854	115	1253
"2024-10-23 09:20:00"	1361	1280	1292	852	117	1254
"2024-10-23 09:25:00"	1360	1273	1292	852	117	1255
"2024-10-23 09:30:00"	1360	1256	1292	852	116	1253
"2024-10-23 09:35:00"	1361	1257	1292	853	116	1253
"2024-10-23 11:50:00"	1361	1260	1294	852	121	1254
"2024-10-23 11:55:00"	1360	1260	1294	853	122	1255
"2024-10-23 12:00:00"	1362	1260	1295	854	122	1256
"2024-10-23 12:05:00"	1362	1260	1293	853	122	1257
"2024-10-23 12:10:00"	1361	1257	1293	853	122	1256
"2024-10-23 12:15:00"	1364	1284	1297	853	122	1255
"2024-10-23 12:20:00"	1363	1261	1294	853	122	1254
"2024-10-23 12:25:00"	1362	1259	1293	854	123	1255
"2024-10-23 12:30:00"	1361	1259	1294	853	123	1255
"2024-10-25 13:05:00"	1354	1246	1287	856	117	1246
"2024-10-25 13:10:00"	1353	1270	1285	855	116	1246
"2024-10-25 13:15:00"	1354	1247	1289	857	116	1247
"2024-10-25 13:20:00"	1353	1246	1287	855	118	1245
"2024-10-25 13:25:00"	1355	1247	1288	855	118	1246
"2024-10-25 13:30:00"	1353	1246	1286	855	120	1246
"2024-10-25 13:35:00"	1354	1244	1286	856	117	1247
"2024-10-25 13:40:00"	1355	1270	1285	855	116	1247
"2024-10-25 13:45:00"	1356	1246	1287	856	117	1246
"2024-10-25 13:50:00"	1353	1246	1286	854	116	1246
"2024-10-25 13:55:00"	1353	1244	1286	854	118	1245
"2024-10-25 14:00:00"	1353	1244	1288	855	117	1248
"2024-10-25 14:05:00"	1354	1245	1289	856	116	1246
"2024-10-25 14:10:00"	1354	1270	1286	856	116	1247
"2024-10-25 14:15:00"	1354	1245	1288	856	115	1247
"2024-10-25 14:20:00"	1353	1245	1286	855	116	1247
